term1	sentencet1	classt1	term2	sentencet2	classt2	which_is_more_emotional
abuse	Her husband often <b>abuses</b> alcohol.	metaphoric	drinks	Her husband often <b>drinks</b> alcohol.	literal	the focus word in the first sentence conveys more emotion
ascend	Inheritance may not <b>ascend</b> linearly.	metaphoric	pass on	Inheritance may not <b>pass on</b> linearly.	literal	the focus word in the first sentence conveys more emotion
shot	He <b>shot</b> away at the men.	literal	blaze	He <b>blazed</b> away at the men.	metaphoric	the focus word in the second sentence conveys more emotion
departed	The spaceship <b>departed</b> out into space.	literal	blaze	The spaceship <b>blazed</b> out into space.	metaphoric	the focus word in the second sentence conveys more emotion
blister	The Senator <b>blistered</b> the administration in his speech on Friday.	metaphoric	criticized	The Senator <b>criticized</b> the administration in his speech on Friday.	literal	the focus word in the first sentence conveys more emotion
improve	The tax cut will <b>improve</b> the economy.	literal	boost	The tax cut will <b>boost</b> the economy.	metaphoric	the focus word in the second sentence conveys more emotion
circulate	She <b>circulates</b> among royalty.	metaphoric	appears	She <b>appears</b> among royalty.	literal	the focus word in the first sentence conveys more emotion
cloud	Their faces were <b>clouded</b> with sadness.	metaphoric	marked	Their faces were <b>marked</b> with sadness.	literal	the focus word in the first sentence conveys more emotion
impaired	The stroke <b>impaired</b> memories of her youth.	literal	cloud	The stroke <b>clouded</b> memories of her youth.	metaphoric	the focus word in the second sentence conveys more emotion
design	She <b>designed</b> to go far in the world of business.	metaphoric	intended	She <b>intended</b> to go far in the world of business.	literal	the focus word in the first sentence conveys more emotion
drain	Life in the camp <b>drained</b> him.	metaphoric	weakened	Life in the camp <b>weakened</b> him.	literal	the focus word in the first sentence conveys more emotion
drain	The exercise class <b>drains</b> me of energy.	metaphoric	depletes	The exercise class <b>depletes</b> me of energy.	literal	the focus word in the first sentence conveys more emotion
use up	One should not <b>use up</b> one's savings.	literal	exhaust	One should not <b>exhaust</b> one's savings.	metaphoric	the focus word in the second sentence conveys more emotion
exhaust	We have <b>exhausted</b> the food supplies.	metaphoric	used up	We have <b>used up</b> the food supplies.	literal	the focus word in the first sentence conveys more emotion
have	Many of the laboratory animals <b>have</b> the trait.	literal	express	Many of the laboratory animals <b>express</b> the trait.	metaphoric	the focus word in the second sentence conveys more emotion
fasten	They <b>fastened</b> various nicknames to each other.	metaphoric	gave	They <b>gave</b> various nicknames to each other.	literal	the focus word in the first sentence conveys more emotion
destroy	These events could <b>destroy</b> the balance of power.	literal	fracture	These events could <b>fracture</b> the balance of power.	metaphoric	the focus word in the second sentence conveys more emotion
fracture	This writer really <b>fractures</b> the language.	metaphoric	misuses	This writer really <b>misuses</b> the language.	literal	the focus word in the first sentence conveys more emotion
infer	I <b>infer</b> you have not done your homework.	literal	gather	I <b>gather</b> you have not done your homework.	metaphoric	the focus words in the two sentences convey a similar degree of emotion
protect	This vaccine will <b>protect</b> you against infection.	literal	guard	This vaccine will <b>guard</b> you against infection.	metaphoric	the focus word in the second sentence conveys more emotion
gutter	Tears <b>guttered</b> down her face.	metaphoric	ran	Tears <b>ran</b> down her face.	literal	the focus word in the first sentence conveys more emotion
lie	The fate of Bosnia <b>lies</b> in the hands of the West.	metaphoric	is	The fate of Bosnia <b>is</b> in the hands of the West.	literal	the focus word in the first sentence conveys more emotion
lock	He <b>locked</b> his hands around her neck.	metaphoric	encircled	He <b>encircled</b> his hands around her neck.	literal	the focus word in the first sentence conveys more emotion
together	They were <b>together</b> in embrace.	literal	lock	They were <b>locked</b> in embrace.	metaphoric	the focus word in the second sentence conveys more emotion
lock	He was <b>locked</b> in a laughing fit.	metaphoric	overwhelmed	He was <b>overwhelmed</b> in a laughing fit.	literal	the focus word in the second sentence conveys more emotion
peep	The new moon <b>peeped</b> through the tree tops.	metaphoric	appeared	The new moon <b>appeared</b> through the tree tops.	literal	the focus word in the first sentence conveys more emotion
advance into	The hikers did not manage to <b>advance into</b> the dense forest.	literal	penetrate	The hikers did not manage to <b>penetrate</b> the dense forest.	metaphoric	the focus word in the second sentence conveys more emotion
affected	The cold <b>affected</b> her bones.	literal	pierce	The cold <b>pierced</b> her bones.	metaphoric	the focus word in the second sentence conveys more emotion
