term1	senset1	sentencet1	classt1	term2	senset2	sentencet2	classt2	which_is_more_emotional
talk	talk#v#1	Actions <b>talk</b> louder than words.	metaphorical	talk	talk#v#2	She <b>talks</b> a lot of nonsense.	literal	the focus word conveys more emotion in the first sentence
blister	blister#v#2	The Senator <b>blistered</b> the administration in his speech on Friday.	metaphorical	blister	blister#v#3	The tight shoes and perspiration <b>blistered</b> her feet.	literal	the focus word conveys more emotion in the first sentence
cloud	cloud#v#2	The stars are obscured by the <b>clouds</b>.	literal	cloud	cloud#v#6	The stroke <b>clouded</b> memories of her youth.	metaphorical	the focus word conveys more emotion in the second sentence
ascend	ascend#v#5	The boat <b>ascended</b> the Delaware.	literal	ascend	ascend#v#2	Inheritance may not <b>ascend</b> linearly.	metaphorical	the focus words in the two sentences convey a similar degree of emotion
recapture	recapture#v#3	The military forces managed to <b>recapture</b> the fort.	literal	recapture	recapture#v#1	She could not <b>recapture</b> that feeling of happiness.	metaphorical	the focus word conveys more emotion in the second sentence
boost	boost#v#2	The tax cut will <b>boost</b> the economy.	metaphorical	boost	boost#v#5	The singer had to be <b>boosted</b> onto the stage by a special contraption.	literal	the focus word conveys more emotion in the first sentence
recapture	recapture#v#4	They tried to <b>recapture</b> the escaped prisoner.	literal	recapture	recapture#v#1	She could not <b>recapture</b> that feeling of happiness.	metaphorical	the focus word conveys more emotion in the second sentence
wrestle	wrestle#v#4	The children <b>wrestled</b> in the garden.	literal	wrestle	wrestle#v#2	I <b>wrestled</b> with this decision for years.	metaphorical	the focus word conveys more emotion in the second sentence
rip	rip#v#2	The tornado <b>ripped</b> along the coast.	metaphorical	rip	rip#v#1	The curtain <b>ripped</b> from top to bottom.	literal	the focus word conveys more emotion in the first sentence
gather	gather#v#4	I <b>gather</b> you have not done your homework.	metaphorical	gather	gather#v#7	She <b>gathered</b> her shawl around her shoulders.	literal	the focus word conveys more emotion in the first sentence
shipwreck	shipwreck#v#1	You have <b>shipwrecked</b> my career.	metaphorical	shipwreck	shipwreck#v#3	They were <b>shipwrecked</b> in one of the mysteries at sea.	literal	the focus word conveys more emotion in the first sentence
guard	guard#v#2	Please <b>guard</b> my possessions while I'm away.	literal	guard	guard#v#4	This vaccine will <b>guard</b> you against infection.	metaphorical	the focus words in the two sentences convey a similar degree of emotion
pour	pour#v#5	We <b>poured</b> money into the education of our children.	metaphorical	pour	pour#v#4	Water <b>poured</b> all over the floor.	literal	the focus word conveys more emotion in the first sentence
uproot	uproot#v#3	They plan to <b>uproot</b> the vine that has spread all over the garden.	literal	uproot	uproot#v#1	The war <b>uprooted</b> many people.	metaphorical	the focus word conveys more emotion in the second sentence
visit	visit#v#8	He was <b>visited</b> with a terrible illness that killed him quickly.	metaphorical	visit	visit#v#2	Did you ever <b>visit</b> Paris?	literal	the focus word conveys more emotion in the first sentence
